InstrumentID,InstrumentDisplayName,Exchange,Symbol,ISINCode,ISINCountryCode,
1280,Davide Campari - Milano Beverage,Borsa Italiana,CPR,IT0005252207,IT,
1281,Enel Group company,Borsa Italiana,EGPW,IT0004618465,IT,
1282,Enel Power Company,Borsa Italiana,ENEL,IT0003128367,IT,
1283,Eni Energy Company,Borsa Italiana,ENI,IT0003132476,IT,
1284,Exor Investment Company,Borsa Italiana,EXO,NL0012059018,IT,
1285,Fiat Chrysler Automobiles,Borsa Italiana,FCA,NL0010877643,IT,
1286,Leonardo Finmeccanica,Borsa Italiana,LDO,IT0003856405,IT,
1287,Generali Group,Borsa Italiana,GASI,IT0000062072,IT,
1288,Intesa Sanpaolo Group,Borsa Italiana,ISP,IT0000072618,IT,
1289,Luxottica Group,Borsa Italiana,LUX,IT0001479374,IT,
1290,Mediobanca Investment Bank,Borsa Italiana,MDBI,IT0000062957,IT,
1291,Mediolanum Group,Borsa Italiana,MED,IT0001279501,IT,
1292,Moncler,Borsa Italiana,MONC,IT0004965148,IT,
1293,Mediaset Group,Borsa Italiana,MS,IT0001063210,IT,
1294,Pirelli & C. Limited Company,Borsa Italiana,PC,IT0004623051,IT,
1295,Bank Of Milano Cooperative Company,Borsa Italiana,PMI,IT0000064482,IT,
1296,Prysmian Group,Borsa Italiana,PRY,IT0004176001,IT,
1297,Salvatore Ferragamo Company,Borsa Italiana,SFER,IT0004712375,IT,
1298,Saipem Oil & Gas Industry,Borsa Italiana,SPM,IT0005252140,IT,
1299,Snam Group,Borsa Italiana,SRG,IT0003153415,IT,
1300,STMicroelectronics Company,Borsa Italiana,STM,NL0000226223,IT,
1301,Ansaldo STS Company,Borsa Italiana,STS,IT0003977540,IT,
1302,Tenaris Group,Borsa Italiana,TEN,LU0156801721,IT,
1303,Telecom Italia Group,Borsa Italiana,TLIT,IT0003497168,IT,
1304,Tods Group,Borsa Italiana,TOD,IT0003007728,IT,
1305,TERNA Eectricity Group,Borsa Italiana,TRN,IT0003242622,IT,
1306,UBI Banca Group,Borsa Italiana,UBI,IT0003487029,IT,
1307,UniCredit Commercial Bank,Borsa Italiana,UCG,IT0005239360,IT,
1308,UnipolSai multi-business insurance company,Borsa Italiana,US,IT0004827447,IT,
1309,World Duty Free Company,Borsa Italiana,WDF,IT0004954662,IT,
1310,Yoox Net-A-Porter Group,Borsa Italiana,YNAP,IT0003540470,IT,
1311,Abertis,Bolsa de Madrid,ABE,ES0111845014,ES,
1312,Abengoa B,Bolsa de Madrid,ABG-P,ES0105200002,ES,
1313,ACS,Bolsa de Madrid,ACS,ES0167050915,ES,
1314,Amadeus IT Hold -A-,Bolsa de Madrid,AMS,ES0109067019,ES,
1315,Acciona,Bolsa de Madrid,ANA,ES0125220311,ES,
1316,BBVA,Bolsa de Madrid,BBVA,ES0113211835,ES,
1317,Bankia S.A,Bolsa de Madrid,BKIA,ES0113307062,ES,
1318,Bankinter,Bolsa de Madrid,BKT,ES0113679I37,ES,
1319,Bolsas Y Mercados,Bolsa de Madrid,BME,ES0115056139,ES,
1320,Caixabank,Bolsa de Madrid,CABK,ES0140609019,ES,
1321,DIA S.A.,Bolsa de Madrid,DIAm,ES0126775032,ES,
1322,Endesa,Bolsa de Madrid,ELE,ES0130670112,ES,
1323,Enagas,Bolsa de Madrid,ENG,ES0130960018,ES,
1324,Fomento de Construcciones,Bolsa de Madrid,FCC,ES0122060314,ES,
1325,Ferrovial,Bolsa de Madrid,FER,ES0118900010,ES,
1326,Siemens Gamesa Renewable Energy SA,Bolsa de Madrid,SGRE,ES0143416115,ES,
1327,Naturgy Energy Group, S.A.,Bolsa de Madrid,NTGY,ES0116870314,ES
1328,Grifols A,Bolsa de Madrid,GRF,ES0171996087,ES,
1330,Iberdrola,Bolsa de Madrid,IBE,ES0144580Y14,ES,
1331,Indra Sistemas A,Bolsa de Madrid,IDR,ES0118594417,ES,
1332,Inditex,Bolsa de Madrid,ITX,ES0148396007,ES,
1333,Jazztel,Bolsa de Madrid,JAZ,GB00B5TMSP21,ES,
1334,Mapfre,Bolsa de Madrid,MAP,ES0124244E34,ES,
1336,OHL,Bolsa de Madrid,OHL,ES0142090317,ES,
1337,Banco Popular Espanol,Bolsa de Madrid,POP,ES0113790226,ES,
1338,Red Electrica Corp,Bolsa de Madrid,REE,ES0173093024,ES,
1339,Repsol,Bolsa de Madrid,REP,ES0173516115,ES,
1340,Banco Sabadell,Bolsa de Madrid,SAB,ES0113860A34,ES,
1342,Sacyr,Bolsa de Madrid,SCYR,ES0182870214,ES,
1344,Mediaset Espana,Bolsa de Madrid,TL5,ES0152503035,ES,
1345,Tecnicas Reunidas,Bolsa de Madrid,TRE,ES0178165017,ES,
1346,Gazprom OAO,LSE,OGZDL,US3682872078,US,
1347,KazMunaiGas Exploration Production JSC,LSE,KMGL,US48666V2043,US,
1348,KCell JSC,LSE,KCELL,US48668G2057,US,
1349,Lukoil OAO,LSE,LKODL,US69343P1057,US,
1350,Magnit PJSC,LSE,MGNTL,US55953Q2021,US,
1351,MegaFon OAO,LSE,MFONL,US58517T2096,US,
1352,MMC Norilsk Nickel OJSC,LSE,MNODL,US55315J1025,US,
1353,NOVATEK OAO,LSE,NVTKL,US6698881090,US,
1354,PhosAgro OAO,LSE,PHORL,US71922G2093,US,
1357,Rosneft OAO,LSE,ROSNL,US67812M2070,US,
1358,Sberbank of Russia,LSE,SBERL,US80585Y3080,US,
1359,Severstal PAO,LSE,SVSTL,US8181503025,US,
1360,Surgutneftegas OAO,LSE,SGGDL,US8688612048,US,
1361,Tatneft OAO,LSE,ATADL,US8766292051,US,
1362,Uralkali PJSC,LSE,URKAL,US91688E2063,US,
1368,Qihoo 360 Technology,NYSE,QIHU,US74734M1099,US,
1370,Jumei Intl Holdings,NYSE,JMEI,US48138L1070,US,
1371,ChangYou.com,Nasdaq,CYOU,US15911M1071,US,
1373,Qunar Cayman Islands,Nasdaq,QUNR,US74906P1049,US,
1377,NetEase,Nasdaq,NTES,US64110W1027,US,
1378,JD.com,Nasdaq,JD,US47215P1066,US,
1379,Trip.com Group Ltd,Nasdaq,TCOM,US89677Q1076?,US,
1380,Autohome,NYSE,ATHM,US05278C1071,US,
1382,51Job,Nasdaq,JOBS,US3168271043,US,
1385,Global Sources,Nasdaq,GSOL,BMG393001018,GER,
1387,MOMO Inc ADR,NASDAQ,MOMO,US60879B1070,US,
1388,Take Two Interactive Software Inc,NASDAQ,TTWO,US8740541094,US,
1400,Nestle SA,SIX,NESN,CH0038863350,CHF,
1401,Novartis AG,SIX,NOVN,CH0012005267,CHF,
1402,Roche Holding Ltd,SIX,ROG,CH0012032048,CHF,
1403,Credit Suisse Group AG,SIX,CSGN,CH0012138530,CHF,
1404,ABB LTD,SIX,ABBN,CH0012221716,CHF,
1405,Adecco Group AG,SIX,ADEN,CH0012138605,CHF,
1406,Actelion Ltd,SIX,ATLN,CH0010532478,CHF,
1407,Julius Baer Gruppe AG,SIX,BAER,CH0102484968,CHF,
1408,Compagnie Financiere Richemont SA,SIX,CFR,CH0210483332,CHF,
1409,Geberit AG,SIX,GEBN,CH0030170408,CHF,
1410,Givaudan S.A,SIX,GIVN,CH0010645932,CHF,
1411,Lafargeholcim Ltd,SIX,LHN,CH0012214059,CHF,
1412,Swisscom AG,SIX,SCMN,CH0008742519,CHF,
1413,SGS SA,SIX,SGSN,CH0002497458,CHF,
1414,Swiss Life Holding AG,SIX,SLHN,CH0014852781,CHF,
1415,Swiss Re AG,SIX,SREN,CH0126881561,CHF,
1416,Syngenta AG,SIX,SYNN,CH0011037469,CHF,
1417,UBS Group AG,SIX,UBSG,CH0244767585,CHF,
1418,The Swatch Group SA - B Shares,SIX,UHR,CH0012255151,CHF,
1419,Zurich Insurance Group Ltd,SIX,ZURN,CH0011075394,CHF,
1450,Accenture PLC,NYSE,ACN,IE00B4BNMY34,US,
1451,American Airlines Group Inc,Nasdaq,AAL,US02376R1023,US,
1452,AbbVie Inc,NYSE,ABBV,US00287Y1091,US,
