StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
2312,0.716049383,0.135802469,0.049382716,0.037037037,0.049382716,0.012345679
2313,0.104347826,0.052173913,0.026086957,0.739130435,0.07826087,0
2314,0.997356828,0.001762115,0,0,0.000881057,0
2315,0.857142857,0.142857143,0,0,0,0
2316,0.352803738,0.639018692,0.003504673,0,0.004672897,0
2317,0.62962963,0.203703704,0.074074074,0.018518519,0.074074074,0
2318,0.4,0.4,0.2,0,0,0
2319,0.666666667,0.222222222,0,0.111111111,0,0
2320,0.666666667,0.277777778,0,0,0.055555556,0
2321,0.538461538,0.384615385,0,0.076923077,0,0
2322,0.8,0.2,0,0,0,0
2323,0.75,0.125,0.125,0,0,0
2324,0.162790698,0.139534884,0.11627907,0.581395349,0,0
2325,0.888888889,0.111111111,0,0,0,0
2326,0.807692308,0.076923077,0.038461538,0,0.076923077,0
2327,0.105691057,0.113821138,0.016260163,0.691056911,0.073170732,0
2328,0.641509434,0.226415094,0.018867925,0,0.113207547,0
2329,0.9125,0.025,0,0,0.0625,0
2330,0.733333333,0.1,0.033333333,0.033333333,0.1,0
2331,1,0,0,0,0,0
2332,0.842105263,0.105263158,0.052631579,0,0,0
2333,0.6875,0.1875,0.0625,0.0625,0,0
2334,0.25,0.583333333,0.166666667,0,0,0
2335,0.150793651,0.841269841,0,0,0.007936508,0
2336,0.636363636,0.181818182,0.181818182,0,0,0
2337,0.75,0.25,0,0,0,0
2338,0.655172414,0.172413793,0,0.034482759,0.137931034,0
2339,0.448502557,0.262722182,0.028487947,0.046749452,0.213294375,0.000243487
2340,0.588235294,0.294117647,0,0.058823529,0.058823529,0
2341,0.5,0.25,0,0,0.25,0
2342,0.140740741,0.125925926,0.022222222,0.644444444,0.066666667,0
2343,0.826086957,0.086956522,0.043478261,0.043478261,0,0
2344,0.928571429,0.071428571,0,0,0,0
2345,0.784615385,0.2,0,0.015384615,0,0
2346,0.666666667,0.333333333,0,0,0,0
2347,0.555555556,0.266666667,0.066666667,0,0.111111111,0
2348,0.857142857,0,0.142857143,0,0,0
2349,0.5,0.45,0.05,0,0,0
2350,0.112781955,0.127819549,0.022556391,0.639097744,0.097744361,0
2500,0.673228346,0.295275591,0.003937008,0.003937008,0.019685039,0.003937008
2501,0.322423058,0.368343918,0.006839277,0.006839277,0.29506595,0.00048852
2502,0.331875,0.430625,0.01,0.006875,0.22,0.000625
2503,0.518324607,0.248691099,0.015706806,0.007853403,0.209424084,0
2504,0.544850498,0.19269103,0.03986711,0.029900332,0.189368771,0.003322259
2505,0.920471281,0.045655376,0.002945508,0,0.030927835,0
2506,0.446945338,0.209003215,0.025723473,0.012861736,0.305466238,0
2508,0.313953488,0.375968992,0.023255814,0.009689922,0.277131783,0
2509,0.258768511,0.330475448,0.339049104,0.031176929,0.040530008,0
2510,0.328434974,0.663482733,0.002939015,0.002204262,0.002204262,0.000734754
2511,0.5,0.217821782,0.014851485,0.01980198,0.247524752,0
2512,0.489035088,0.219298246,0.021929825,0.00877193,0.260964912,0
2513,0.4,0.35,0,0.05,0.2,0
2514,0.6,0.12,0.12,0,0.16,0
2515,0.659090909,0.159090909,0.037878788,0.03030303,0.113636364,0
2516,0.970588235,0.014117647,0.001058824,0.001176471,0.013058824,0
2518,0.259837601,0.552154903,0.013741412,0.010618364,0.162398501,0.001249219
2519,0.393939394,0.337878788,0.011363636,0.010606061,0.246212121,0
2520,0.490935773,0.453297652,0.011740331,0.004229972,0.039537293,0.000258978
2521,0.381834215,0.411816578,0.019400353,0.004409171,0.181657848,0.000881834
2522,0.649122807,0.105263158,0.01754386,0.157894737,0.070175439,0
2523,0.6875,0.1875,0,0,0.125,0
2524,0.5,0.342105263,0.105263158,0,0.052631579,0
2525,0.736141907,0.188470067,0.00443459,0.002217295,0.068736142,0
2526,0.222841226,0.526462396,0.048746518,0.002785515,0.197771588,0.001392758
2527,0.708333333,0.166666667,0.041666667,0,0.083333333,0
2528,0.857142857,0.095238095,0.047619048,0,0,0
2529,0.314949202,0.169448476,0.169811321,0.342525399,0.003265602,0
2530,0.477911647,0.212851406,0.200803213,0.006024096,0.100401606,0.002008032
2531,0.936678614,0.02688172,0.002389486,0.001194743,0.032855436,0
2532,0.428571429,0.571428571,0,0,0,0
2533,0.552631579,0.210526316,0.052631579,0.026315789,0.131578947,0.026315789
2534,0.519821606,0.216551041,0.197224975,0.019821606,0.046085233,0.00049554
2535,0.63197026,0.167286245,0.156133829,0.022304833,0.022304833,0
2536,0.722222222,0.034722222,0.017361111,0.010416667,0.213541667,0.001736111
2537,0.236893204,0.572168285,0.013592233,0.009061489,0.166990291,0.001294498
2538,0.707317073,0.195121951,0.073170732,0,0.024390244,0
2540,0.6,0.266666667,0.133333333,0,0,0
2541,0.301097394,0.359053498,0.006515775,0.00617284,0.327160494,0
2542,0.510416667,0.197916667,0.020833333,0.005208333,0.265625,0
2543,0.509838998,0.268336315,0.023255814,0.01431127,0.184257603,0
